keywords,year,id,_title,_author,_month,_day,_path,_fulltext
"All,immer,ommadawn,mama,zeit,wurde,musik,normaler,leben,abendessen,ging,wußte,konnte,schule,alltäglichkeiten,gärtnerei,zusammen,bettdecke,leise,mehr,jahre",2017,0000, Ommadawn,BenLo,02,28,vikus-viewer/data/fulltext/pdf/rh170228 - 17 - Ommadawn.pdf,"|
alltäglichkeiten
ộ
ommadawn
lo
i 
es war ein normaler tag in meinem leben  den ganzen tag mit anderen kindern in der 
gärtnerei des krankenhauses gespielt  zu hause dann die nasse hose ausgezogen und in 
den wäschekorb unter die andere wäsche gesteckt  keiner hat etwas gemerkt als ich zum 
abendessen ging  jetzt lag ich im bett  zusammen gerollt  die bettdecke bis zum kinn 
hochgezogen  die treppe knurrte leise aber doch bedrohlich  ich wußte wer kam  meine 
liebe mama  gab es nur ein kontrollierendes „gute nacht    ich zitterte vor spannung  
fühlte mich schuldig   oder einen gefühlsausbruch den sie nicht mehr unter kontrolle 
bekam   sie ging zum kleiderschrank und ich zog mich noch kleiner zusammen  die 
schützende bettdecke verschwand und ich hielt still  
so ging es bis ich ungefähr neun oder zehn jahre alt war  mancher kleiderbügel war 
zerbrochen  meine mama konnte mich nicht mehr so intensiv erziehen  weil sie krank 
wurde  die schwester meines vaters führte den haushalt wenn meine mama in kliniken 
oder kurorten behandelt wurde  es war schön  einfach schön  in meinem elften sommer 
starb meine liebende mama  eine ehrenwerte frau  immer freundlich und hilfsbereit  
jeder hatte sie geliebt und jetzt war sie tot  alle trauerten und nannten mich einen 
armen jungen  nur ich wußte ich bin ein schlechter mensch  wollte  konnte aber nicht 
trauern  ich war böse 
ii 
es war ein normaler tag in meinem leben  morgens gymnasium nachmittags aus meinem 
dachzimmer in den himmel gestarrt  nur himmel  zwei oder  drei baumspitzen  ab und zu 
kreisende tauben  und gott und die welt überdacht  dann abendessen und anschließend 
eine runde fahrrad gefahren  die zeit verging  fünf jahre bis zum sommer 1974  die neue
frau meines vater hatte keine chance mich kennen zu lernen  vom gymnasium flog ich 
nach mehrmaligem sitzenbleiben ohne abschluß  mein vater setzte sich in der schule 
dafür ein  dass ich schon im frühsommer die schule verlassen konnte und erlaubte mir mit
interrail zu verreisen bevor ich eine gärtnerlehre beginnen sollte  interrail war toll  dann 
wieder wie vorher  nach der  jetzt gärtnerei  abendessen  dann rad fahren   eines abends 
traf ich kollegen von der schule und die zeit des radfahrens war vorbei   ab sofort jeden 
abend treffen am alten friedhof  als es im herbst kühler wurde  fanden wir ein gerade 
neu eröffnetes jugendzentrum  es war warm  die vier räume waren noch leer  es  war eine
aufregende zeit  immer wieder versammlungen auf denen beschlossen wurde wie die 
räume gestrichen und eingerichtet werden sollten  wozu sie genutzt werden sollten  ich 
durfte auch mit reden  es war eine schöne zeit mit sofas vom sperrmüll und musik zum 
vergessen  wir hörten alles von pink floyd  den rolling stones  und queen  - in a gadda 
da vida von iron butterfly und  mike oldfield  ommadawn hat mich innerlich berührt  ich 
wußte nicht warum  wollte es immer wieder hören  in der zeit habe ich zum ersten mal 
seit ihrem tod von meiner mama erzählt  immer noch mit schlechtem gewissen 
⇓
⇓
anbenlo@gmx de
rh170228 - 17 - ommadawn - seite 1 von 2
 alltäglichkeiten
ộ
ommadawn
lo
iii 
es ist ein normaler tag in meinem leben  ich bin schon frührentner und fahr mit dem auto
auf der autobahn  die musik laut gedreht  ich habe mir ein paar alte sachen auf den usb-
stick kopiert  ich summe  sing und gröle zur musik  und dann  ommadawn  nach 35 jahren
mal wieder ommadawn von mike oldfield  erst ist es fremd  doch dann ist alles wieder da 
flöte - gesang daaaaadaaaaa dadieissiaoooooh leise - immer und immer wieder - immer 
nur ein klein wenig stärker - es steigert sich ganz langsam - wird  immer etwas unruhiger  
hektische klänge überdecken den gesang  übertönen ihn  übernehmen alles  es wird 
laut    ich heule  schreie   -  zum ersten mal in das über mir stehende  vor wut verzerrte 
gesicht meiner mama  „warum   -     hör auf     …  laute musik    „schluss jetzt       -     was 
soll denn das  … schreiende musikfetzen    „jetzt hör doch endlich mal auf    -   jetzt ist 
ein für alle mal schluss jetzt  
ich stehe auf einem parkplatz 
ruhe        
anbenlo@gmx de
rh170228 - 17 - ommadawn - seite 2 von 2
 "
"All,welt,fühle,manchmal,betreff,alltäglichkeiten,sitz,weiss,versteh,meist,schmerz,gibt,duftenden,klee,abmeldungen,bitte,anbenlo@garantiere,fixabo,nixabo,tadel,„zh170926-13",2017,0001, eine Welt,BenLo,09,26,vikus-viewer/data/fulltext/pdf/zh170926 - 13 - eine Welt.pdf,"|
alltäglichkeiten
ộ
eine welt
lo
und wieder sitz ich am pc
weiss nicht  ob ich die welt versteh  
meist fühle ich nur schmerz und weh 
doch manchmal gibt es kein ich und ihr
dann fühle ich  alles ist auch in mir 
dann bin ich einig  selbst mit dir 
manchmal   -  im duftenden klee 
an- oder abmeldungen bitte an  anbenlo@gmx de 
ich garantiere für nichts
mit betreff  fixabo bzw  nixabo 
aber dies sollte die
lob und tadel mit betreff  
 „zh170926-13  -  eine welt„
seite 1 von 1
an anbenlo@gmx de  
sein
 "
"All,wasser,alltäglichkeiten,englische,rasen,duftete,erstmals,richtig,doof,roch,düster,ekelig,ranzig,deshalb,indischen,experten,durchaus,immens,ernst,irgend,alte",2017,0002, Der die das Wasser,BenLo,07,19,vikus-viewer/data/fulltext/pdf/zh170719 - 22 - Der die das Wasser.pdf,"|
alltäglichkeiten
ộ
der die das wasser
lo
der englische rasen duftete erstmals richtig doof  er roch düster ekelig ranzig 
deshalb ist es den indischen experten durchaus immens ernst das irgend einer
die alte sorte durch alternative super duftende arten sicher davon abhält sich
weiter auf sonnige stellen erfolgreich rollt 
anbenlo@gmx de
zh170719-22  -  der die das wasser - seite 1 von 1
 "
"All,europa,menschen,wäre,weniger,lösung,flüchtlingshelfer,angst,ziel,kommen,logik,schon,folge,frei,geflüchteten,sehen,alltäglichkeiten,agust,2017,italien,geht",2017,0003, die Lösung,BenLo,08,04,vikus-viewer/data/fulltext/pdf/zh170804 - 12 - die Lösung.pdf,"|
alltäglichkeiten
ộ
die lösung
lo
3  agust 2017  italien geht gegen flüchtlinghelfer im mittelmeer vor 
warum 
flüchtlingshelfer sorgen dafür  dass sich menschen auf den weg nach europa machen  weil die 
chance heil anzukommen durch diese helfer vergrößert wird  wenn die flüchtlingshelfer nicht 
wären  wäre die angst zu sterben größer als die angst  da zu bleiben wo sie sind  es fliehen weniger  
es ertrinken weniger  und  unser aller ziel  es kommen weniger nach europa  klingt doch logisch 
auf grundlage dieser logik wäre es vielleicht günstiger und gleichzeitig effektiver  mittel- oder 
lang-fristig gesehen  alle menschen einfach völlig unkontrolliert einreisen zu lassen  im gegenzug 
müßte dann natürlich die rechtsradikale szene in europa entweder direkt mit kleinwaffen und 
schlagstöcken oder auch finaziell besser ausgerüstet werden   - obwohl  wenn ich nochmal darüber 
nachdenke  es reicht wahrscheinlich diese menschen moralisch zu stärken  manchmal etwas mehr 
lob  nicht immer über sie herziehen  als dummes  braunes pack bezeichnen  aber da sind wir ja 
schon in die richtige richtung unterwegs 
logischerweise hat das dann zur folge  dass in den herkunftsländern jeder für sich frei  ich 
wiederhole  frei entscheiden kann  ob er sich lieber zuhause von europäisch ausgebildeten profis 
mit in europa gekauften waffen oder in europa von engagierten hobbyfolteren quälen läßt  
stichwort privatisierung  keine kosten für lager  wachschutz  medizinische versorgung  sprachkurse
und so weiter     es wäre alles in der hand und verantwortung der geflüchteten  und das asylrecht 
müsste nicht mal aufgeweicht werde 
in der folge würde die zahl der geflüchteten in europa drastisch sinken  und das  da sind wir uns 
doch einig  ist doch unser gemeinsames ziel 
wie  sie sehen das anders  die logik an sich ist aber doch bestechend  - sehen sie  da stimmen sie 
zu  was sagen sie  sie haben andere ziele  ja  was denken sie denn  jeder mensch hat ein recht 
auf    blablabla  ja  was denn   jetzt hören sie aber auf  gleich kommen sie noch mit menschenrechte
und so  mit leuten wie ihnen kann man nicht ernsthaft diskutieren und schon gar nicht die probleme 
der welt lösen 
klarstellung   ich bin für die abschaffung aller grenzen ausser der persönlichen grenze eines jeden 
einzelnen menschen  privatspäre und respekt 
anbenlo@gmx de
zh170804-12  -  die lösung - seite 1 von 1
 "
"All,betreff,alltäglichkeiten,neuer,masse,hervor,vielen,zusammen,fühl,trotzdem,allein,verkrieche,wein,geht,leben,verzag,abmeldungen,bitte,anbenlo@garantiere,fixabo,nixabo",2017,0004, Weiter,BenLo,05,01,vikus-viewer/data/fulltext/pdf/zh170501 - 13 - Weiter.pdf,"|
alltäglichkeiten
ộ
weiter
lo
wieder ist ein neuer tag  
wieder ich es einmal wag  
aus der masse hervor ich rag 
mit vielen kann ich zusammen sein 
fühl mich trotzdem oft allein  
verkrieche mich und wein  
dann geht s  am leben ich nicht verzag 
an- oder abmeldungen bitte an  anbenlo@gmx de 
ich garantiere für nichts
mit betreff  fixabo bzw  nixabo 
aber dies sollte die
lob und tadel mit betreff  
 „zh170501-13  -  weiter„
seite 1 von 1
an anbenlo@gmx de  
sein
 "
"All,radio,mehr,samstag,geschehen,betreff,alltäglichkeiten,abwinken,beginnt,wdrii-zeit,fußball-bundesliga,weit,umgeschaltet,gestaltet,abends,wahrscheinlich,ferngesehen,wohl,liga,zwischenzeitlich,sieger",2017,0005, Radio bis zum Abwinken,BenLo,10,21,vikus-viewer/data/fulltext/pdf/zh171021 - 14 - Radio bis zum Abwinken.pdf,"|
alltäglichkeiten
ộ
radio bis zum abwinken
lo
jetzt beginnt wieder die wdrii-zeit
fußball-bundesliga ist nicht mehr weit 
vom dlf wird umgeschaltet
so wird bei uns der samstag gestaltet 
abends wahrscheinlich ferngesehen 
viel mehr wird wohl nicht geschehen 
wenn am samstag keine liga 
dann bin ich zwischenzeitlich sieger 
doch am sonntag spätesten um zehn 
wir sind uns einig  wird es geschehen 
wenn wir es nicht tun
ist vorbei des sonntags ruhen 
für manche ist es heimat
uns macht es schwer  blei-matt 
doch dann  spätestens ab 13 30
146 stunden  das weiß ich 
wieder super gut gemachtes radio
 -  null zu eins  tschüss  adio    
an- oder abmeldungen bitte an  anbenlo@gmx de 
ich garantiere für nichts
mit betreff  fixabo bzw  nixabo 
aber dies sollte die
lob und tadel mit betreff  
 „zh171021-14  -  radio bis zum abwinken„
seite 1 von 1
an anbenlo@gmx de  
sein
 "
"All,cool,gibt,yussuf,shirt,betreff,alltäglichkeiten,heiße,coolste,klasse,cooler,schöne,dunkle,schokoladenhaut,geil,kumpel,sagen,trocken,dumme,sprüche,reagiere",2018,0006, cool,BenLo,01,10,vikus-viewer/data/fulltext/pdf/zh180110 - 12 - cool.pdf,"|
alltäglichkeiten
ộ
cool
lo
hi  ich heiße ben und bin der coolste
in der klasse  es gibt keinen  der
noch cooler ist  so schöne dunkle
schokoladenhaut  wie geil ist das
denn  meine kumpel sagen ich bin
so cool  weil ich so trocken auf
dumme sprüche reagiere und
mich gar nicht ärger  und jetzt
habe ich ein kapuzen-shirt ge-
funden das passt zu mir wie
die faust auf s auge  mein
bester freund yussuf möchte
auch so ein shirt  aber das ist
ja affig  weil es gibt nur einen
coolsten im dschungel  er ist
blond und schön rosig  fast
schon blass  yussuf ist auch
cool  wir haben den gleichen
humor  er sucht ein shirt mit
„coolste sau im stall  
er sieht ja nicht aus wie ein
schwein    
an- oder abmeldungen bitte an anbenlo@gmx de 
ich garantiere für nichts
mit betreff  fixabo bzw  nixabo 
aber dies sollte die
lob und tadel mit betreff  
 „zh180110-12 - cool„
seite 1 von 1
an anbenlo@gmx de  
sein
 "
"All,betreff,alltäglichkeiten,pflicht,heute,papierkram,versuche,folgsam,achtsam,felder,füllen,möchte,brüllen,zerknüllen,geht,seltsam,abmeldungen,bitte,anbenlo@garantiere,fixabo,nixabo",2017,0007, Pflicht,BenLo,05,02,vikus-viewer/data/fulltext/pdf/zh170502 - 12 - Pflicht.pdf,"|
alltäglichkeiten
ộ
pflicht
lo
heute papierkram  
versuche folgsam 
und sehr achtsam 
felder zu füllen 
möchte brüllen 
alles zerknüllen 
doch es geht 
seltsam 
an- oder abmeldungen bitte an  anbenlo@gmx de 
ich garantiere für nichts
mit betreff  fixabo bzw  nixabo 
aber dies sollte die
lob und tadel mit betreff  
 „zh170502-12  -  pflicht„
seite 1 von 1
an anbenlo@gmx de  
sein
 "
"All,alphabet,alltäglichkeiten,altes,brüchiges,chinesisches,ding,eben,fand,georg,heute,joghurt,kleben,läuft,maulend,osten,quält,ruppig,teure,vielleicht,xavers",2017,0008, Alphabet,BenLo,05,18,vikus-viewer/data/fulltext/pdf/zh170518 - 23 - Alphabet.pdf,"|
alltäglichkeiten
ộ
alphabet
lo
altes brüchiges chinesisches ding eben
fand georg heute im joghurt kleben 
läuft maulend nach osten pur
quält ruppig seine teure uhr 
vielleicht wird xavers yeti zerrieben 
auweia  es ist ordentlich umschrieben 
äbte öffters übertrieben
die einhaltung
der wortverwaltung
anbenlo@gmx de
zh170518-23  -  alphabet - seite 1 von 1
 "
"All,weinlese,gewese,waff,effizient,getöse,franzose,milchdose,kordhose,mordspose,angsthase,seifenblase,reifegase,gummilasche,einkaufstasche,asche,überrasche,superschnelle,laolawelle,turnhalle,mausefalle",2017,0009, Effizient,BenLo,08,08,vikus-viewer/data/fulltext/pdf/zh170808 - 18 - Effizient.pdf,"|
alltäglichkeiten
ộ
effizient
lo
weinlese gewese getöse franzose milchdose kordhose mordspose mondphase angsthase 
landstraße verlasse seifenblase reifegase gummilasche einkaufstasche heiße asche überrasche 
superschnelle laolawelle turnhalle mausefalle wir alle katzenkralle gewölbekeller holzfäller 
gedankenerheller angstbeller suppenteller ich kann s schneller 
oft nach der weinlese
wird gemacht viel gewese
um das irre  böse
und laute getöse 
welches ein franzose
nicht mit wein  nein mit milchdose
und altmodischer kordhose
hervorgerufen durch seine mordspose
während einer vollmondphase 
eigentlich ist er ein angsthase 
selbst ganz kleine landstraßen
will er sofort verlassen
in einer großen seifenblase
er meint  da gibt es keine reifegase 
die dringen durch die gummilasche
an der einkaufstasche
die gefüllt mit heißer asche 
ja  ich mich selbst mal überrasche 
also selbst die riesengroße und superschnelle
seifen  reifen  gummi  was war s  ach  laolawelle
umrundete die turnhalle
ohne mausefalle
in dem  rasend schnell  wir alle
so wie die maus von der katzenkralle 
im weinfass gefüllten gewölbekeller 
das holz der fässer zuvor vom holzfäller     
ist schon klar  du brauchst keine gedankenerheller 
stopp  du redest und erzählst wie so n köter  so n kleiner angstbeller 
waff  waff  waff  wuff  wuff und wau  
es geht doch nur darum  schau 
oft nach der weinlese
wird gemacht so unendlich viel gewese
nur um die frage  trinkt man wein vom suppenteller 
das war es schon  ich kann s schneller 
anbenlo@gmx de
zh170808-18  -  effizient - seite 1 von 1
 "
